2020-09-28 10:07:01,145 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor 218 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-09-28 10:07:01,354 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource 1658 - {dataSource-1} closed
2020-09-28 10:07:04,941 [main] INFO  c.m.d.DispatchcenterApplication 55 - Starting DispatchcenterApplication on bodideMacBook-Pro.local with PID 97090 (/Users/budi/Downloads/monetware/dispatchCenter-api/target/classes started by budi in /Users/budi/Downloads/monetware/dispatchCenter-api)
2020-09-28 10:07:04,947 [main] INFO  c.m.d.DispatchcenterApplication 655 - The following profiles are active: dev
2020-09-28 10:07:05,737 [main] WARN  t.m.s.mapper.ClassPathMapperScanner 142 - No MyBatis mapper was found in '[com.monetware.dispatchcenter.business.dao.*]' package. Please check your configuration.
2020-09-28 10:07:05,905 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 239 - Skipping MapperFactoryBean with name 'dcAdminDao' and 'com.monetware.dispatchcenter.business.dao.DcAdminDao' mapperInterface. Bean already defined with the same name!
2020-09-28 10:07:05,906 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 239 - Skipping MapperFactoryBean with name 'dcNodeDao' and 'com.monetware.dispatchcenter.business.dao.DcNodeDao' mapperInterface. Bean already defined with the same name!
2020-09-28 10:07:05,906 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 239 - Skipping MapperFactoryBean with name 'dcServiceDao' and 'com.monetware.dispatchcenter.business.dao.DcServiceDao' mapperInterface. Bean already defined with the same name!
2020-09-28 10:07:05,906 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 239 - Skipping MapperFactoryBean with name 'dcTaskDao' and 'com.monetware.dispatchcenter.business.dao.DcTaskDao' mapperInterface. Bean already defined with the same name!
2020-09-28 10:07:05,906 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 239 - Skipping MapperFactoryBean with name 'dcTaskTypeDao' and 'com.monetware.dispatchcenter.business.dao.DcTaskTypeDao' mapperInterface. Bean already defined with the same name!
2020-09-28 10:07:05,906 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 166 - No MyBatis mapper was found in '[com.monetware.dispatchcenter]' package. Please check your configuration.
2020-09-28 10:07:05,951 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-09-28 10:07:05,954 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-09-28 10:07:05,997 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 187 - Finished Spring Data repository scanning in 19ms. Found 0 Redis repository interfaces.
2020-09-28 10:07:06,305 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 335 - Bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0' of type [org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-09-28 10:07:06,849 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 108 - Tomcat initialized with port(s): 8067 (http)
2020-09-28 10:07:06,862 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8067"]
2020-09-28 10:07:06,862 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2020-09-28 10:07:06,863 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-28 10:07:07,070 [main] INFO  o.a.c.c.C.[.[.[/cloudexperiment] 173 - Initializing Spring embedded WebApplicationContext
2020-09-28 10:07:07,070 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext 285 - Root WebApplicationContext: initialization completed in 2069 ms
2020-09-28 10:07:07,299 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure 56 - Init DruidDataSource
2020-09-28 10:07:07,599 [main] INFO  c.alibaba.druid.pool.DruidDataSource 889 - {dataSource-1} inited
2020-09-28 10:07:09,115 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping 69 - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-09-28 10:07:09,189 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-28 10:07:09,350 [main] INFO  t.m.m.a.MapperCacheDisabler 60 - Clear tk.mybatis.mapper.util.MsUtil CLASS_CACHE cache.
2020-09-28 10:07:09,350 [main] INFO  t.m.m.a.MapperCacheDisabler 60 - Clear tk.mybatis.mapper.genid.GenIdUtil CACHE cache.
2020-09-28 10:07:09,351 [main] INFO  t.m.m.a.MapperCacheDisabler 60 - Clear tk.mybatis.mapper.version.VersionUtil CACHE cache.
2020-09-28 10:07:09,351 [main] INFO  t.m.m.a.MapperCacheDisabler 83 - Clear EntityHelper entityTableMap cache.
2020-09-28 10:07:09,634 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8067"]
2020-09-28 10:07:09,662 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 - Tomcat started on port(s): 8067 (http) with context path '/cloudexperiment'
2020-09-28 10:07:09,663 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper 151 - Context refreshed
2020-09-28 10:07:09,689 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper 154 - Found 1 custom documentation plugin(s)
2020-09-28 10:07:09,721 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner 41 - Scanning for api listing references
2020-09-28 10:07:09,746 [main] INFO  c.m.d.DispatchcenterApplication 61 - Started DispatchcenterApplication in 5.345 seconds (JVM running for 5.945)
2020-09-28 10:21:01,526 [http-nio-8067-exec-1] INFO  o.a.c.c.C.[.[.[/cloudexperiment] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-28 10:21:01,527 [http-nio-8067-exec-1] INFO  o.s.web.servlet.DispatcherServlet 525 - Initializing Servlet 'dispatcherServlet'
2020-09-28 10:21:01,537 [http-nio-8067-exec-1] INFO  o.s.web.servlet.DispatcherServlet 547 - Completed initialization in 10 ms
2020-09-28 10:21:01,565 [http-nio-8067-exec-1] INFO  c.m.d.s.i.c.AuthenticationInterceptor 25 - =========Request Begin=========
2020-09-28 10:21:01,653 [http-nio-8067-exec-1] INFO  c.m.d.b.c.manage.LoginController 87 - --------------- userLogin() 方法开始 ---------------
2020-09-28 10:21:01,668 [http-nio-8067-exec-1] INFO  c.m.d.b.c.manage.LoginController 136 - 参数 param ：{"username":"admin","password":"123123123"}
2020-09-28 10:21:02,857 [http-nio-8067-exec-2] INFO  c.m.d.s.i.c.AuthenticationInterceptor 25 - =========Request Begin=========
2020-09-28 10:21:02,858 [http-nio-8067-exec-2] INFO  c.m.d.b.c.manage.LoginController 87 - --------------- userLogin() 方法开始 ---------------
2020-09-28 10:21:02,859 [http-nio-8067-exec-2] INFO  c.m.d.b.c.manage.LoginController 136 - 参数 param ：{"username":"admin","password":"123123123"}
2020-09-28 10:21:03,147 [http-nio-8067-exec-1] INFO  c.m.dispatchcenter.system.aop.LogAop 154 - 返回json数据 : {"code":0,"message":"调用成功","data":{"username":"admin"},"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1dWlkIjoiZTY0NDg2YTgxMjNkNGMyNzlkOTY3ZTM0NzE5Y2ViNGUifQ.SA_b87VXP6H-Lt0b5MbKVzgVDAXebU1o2d6L2dlIzG4"}
2020-09-28 10:21:03,147 [http-nio-8067-exec-2] INFO  c.m.dispatchcenter.system.aop.LogAop 154 - 返回json数据 : {"code":0,"message":"调用成功","data":{"username":"admin"},"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1dWlkIjoiNmZhZmYzMTQ5ODMxNDQ4Zjk1YjdlYmQ3NmMzYzFiZmQifQ.OKIeXCrfioxPfZCBGQM0taoBUt9mGyYFyxrcE7D2BAw"}
2020-09-28 10:21:03,147 [http-nio-8067-exec-1] INFO  c.m.d.b.c.manage.LoginController 105 - --------------- userLogin() 方法结束 ---------------
2020-09-28 10:21:03,147 [http-nio-8067-exec-2] INFO  c.m.d.b.c.manage.LoginController 105 - --------------- userLogin() 方法结束 ---------------
2020-09-28 10:28:54,797 [http-nio-8067-exec-3] INFO  c.m.d.s.i.c.AuthenticationInterceptor 25 - =========Request Begin=========
2020-09-28 10:28:54,843 [http-nio-8067-exec-3] INFO  c.m.d.b.c.m.NodeManageController 87 - --------------- searchNodeByParam() 方法开始 ---------------
2020-09-28 10:28:54,844 [http-nio-8067-exec-3] INFO  c.m.d.b.c.m.NodeManageController 136 - 参数 param ：{"pageNum":1,"pageSize":10,"status":2}
2020-09-28 10:28:55,448 [http-nio-8067-exec-3] INFO  c.m.dispatchcenter.system.aop.LogAop 154 - 返回json数据 : {"code":0,"message":"调用成功","data":{"data":[{"id":3,"ip":"3","port":"3","description":"3","status":2,"dcServiceList":[{"id":2,"nodeId":3,"url":"sdflksdf","projectType":1,"heartBeatUrl":"dlkfjlsfa","status":3}]},{"id":4,"ip":"6","port":"6","description":"6","status":2,"dcServiceList":[]},{"id":5,"ip":"8","port":"8","description":"8","status":2,"dcServiceList":[]},{"id":6,"ip":"12349123","port":"23984712934","description":"2319847912","status":2,"dcServiceList":[]}],"total":4,"pageNum":1,"pageSize":10,"totalPages":1},"token":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1dWlkIjoiZTY0NDg2YTgxMjNkNGMyNzlkOTY3ZTM0NzE5Y2ViNGUifQ.SA_b87VXP6H-Lt0b5MbKVzgVDAXebU1o2d6L2dlIzG4"}
2020-09-28 10:28:55,449 [http-nio-8067-exec-3] INFO  c.m.d.b.c.m.NodeManageController 105 - --------------- searchNodeByParam() 方法结束 ---------------
